run,model,dataset,missing_rate,seed,MAE,MSE,RMSE,MRE,metrics_file
tefn/eld/mr0.5/seed123,tefn,eld,0.5,123,1.0412349291563998,2.834422072781217,1.683574195805227,0.5576214289628357,output/imputation/cuda/paper_campaign/tefn/eld/mr0.5/seed123/metrics/tefn_metrics.json
tefn/eld/mr0.5/seed42,tefn,eld,0.5,42,1.0837898197777431,2.958074787417803,1.7199054588604,0.5803821956204548,output/imputation/cuda/paper_campaign/tefn/eld/mr0.5/seed42/metrics/tefn_metrics.json
tefn/eld/mr0.5/seed456,tefn,eld,0.5,456,1.0265584007445987,2.8697301015479715,1.6940277747274308,0.5497949571514167,output/imputation/cuda/paper_campaign/tefn/eld/mr0.5/seed456/metrics/tefn_metrics.json
tefn/etth1/mr0.1/seed123,tefn,etth1,0.1,123,2.941674325980391,14.341685111544612,3.7870417361767497,3.4170026849689386,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.1/seed123/metrics/tefn_metrics.json
tefn/etth1/mr0.1/seed42,tefn,etth1,0.1,42,3.2800306953892173,18.794487136865786,4.335260907588583,3.949074912342913,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.1/seed42/metrics/tefn_metrics.json
tefn/etth1/mr0.1/seed456,tefn,etth1,0.1,456,3.0441637593330952,16.449156846810233,4.055756014211189,3.592929109611094,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.1/seed456/metrics/tefn_metrics.json
tefn/etth1/mr0.3/seed123,tefn,etth1,0.3,123,3.0036202106538776,14.979514748349834,3.87033780804077,3.512639999246165,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.3/seed123/metrics/tefn_metrics.json
tefn/etth1/mr0.3/seed42,tefn,etth1,0.3,42,3.2743434141174035,18.282438507647786,4.275796827218032,3.8597209275469813,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.3/seed42/metrics/tefn_metrics.json
tefn/etth1/mr0.3/seed456,tefn,etth1,0.3,456,3.1180616408934703,17.075509020618554,4.132252293921385,3.680108037952703,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.3/seed456/metrics/tefn_metrics.json
tefn/etth1/mr0.5/seed123,tefn,etth1,0.5,123,3.045127620100876,15.5336026645444,3.9412691692580957,3.57413616951909,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.5/seed123/metrics/tefn_metrics.json
tefn/etth1/mr0.5/seed42,tefn,etth1,0.5,42,3.2900398699768476,18.156806836034395,4.261080477535527,3.8545126088769575,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.5/seed42/metrics/tefn_metrics.json
tefn/etth1/mr0.5/seed456,tefn,etth1,0.5,456,3.1441415313225054,17.133799096784884,4.139299348535315,3.6974039950352533,output/imputation/cuda/paper_campaign/tefn/etth1/mr0.5/seed456/metrics/tefn_metrics.json
tefn/ettm1/mr0.1/seed123,tefn,ettm1,0.1,123,1.9615146607734517,7.664092429850899,2.768409729402586,2.3221350218304226,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.1/seed123/metrics/tefn_metrics.json
tefn/ettm1/mr0.1/seed42,tefn,ettm1,0.1,42,2.209221995548961,9.890258876496468,3.14487819740232,2.6289077660667397,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.1/seed42/metrics/tefn_metrics.json
tefn/ettm1/mr0.1/seed456,tefn,ettm1,0.1,456,2.1376655735596706,9.322536490483538,3.0532829037748104,2.494441642462939,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.1/seed456/metrics/tefn_metrics.json
tefn/ettm1/mr0.3/seed123,tefn,ettm1,0.3,123,2.055664431330472,8.169809549356223,2.8582878702741303,2.413879865054855,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.3/seed123/metrics/tefn_metrics.json
tefn/ettm1/mr0.3/seed42,tefn,ettm1,0.3,42,2.2458276954467356,9.96865012886598,3.157316919294922,2.6525399900037376,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.3/seed42/metrics/tefn_metrics.json
tefn/ettm1/mr0.3/seed456,tefn,ettm1,0.3,456,2.188651967114325,9.548701144972451,3.0900972711182493,2.5778365453776915,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.3/seed456/metrics/tefn_metrics.json
tefn/ettm1/mr0.5/seed123,tefn,ettm1,0.5,123,2.1715945784307684,8.88301222817717,2.98043826109134,2.5466514017041484,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.5/seed123/metrics/tefn_metrics.json
tefn/ettm1/mr0.5/seed42,tefn,ettm1,0.5,42,2.2550978219364692,9.780286357819563,3.127344937454064,2.663927356402412,output/imputation/cuda/paper_campaign/tefn/ettm1/mr0.5/seed42/metrics/tefn_metrics.json
